Index,Image,Output
9226,25799,No
9227,103897,No
9228,5370,No
9229,83553,Yes
9230,195127,No
9231,134841,Yes
9232,67568,Yes
9233,35485,No
9234,207764,No
9235,87425,Yes
9236,200207,Yes
9237,192420,Yes
9238,48872,Yes
9239,49185,No
9240,45881,No
9241,181039,Yes
9242,126973,Yes
9243,110921,No
9244,163233,No
9245,122640,Yes
9246,200639,Yes
9247,135895,Yes
9248,189728,No
9249,59241,Yes
9250,131016,Yes
9251,29410,No
9252,62977,No
9253,140033,Yes
9254,28382,No
9255,14400,No
9256,126838,Yes
9257,61461,Yes
9258,102248,Yes
9259,175333,No
9260,205618,Yes
9261,171799,No
9262,34054,Yes
9263,199629,Yes
9264,71587,No
9265,179890,Yes
9266,39650,No
9267,61657,Yes
9268,139313,No
9269,158350,Yes
9270,10914,No
9271,65635,Yes
9272,193598,Yes
9273,66373,Yes
9274,109613,Yes
9275,204849,Yes
9276,50586,No
9277,177775,Yes
9278,186206,Yes
9279,38886,Yes
9280,94467,Yes
9281,42284,Yes
9282,95601,Yes
9283,100620,Yes
9284,1657,No
9285,204642,No
9286,127222,No
9287,188605,Yes
9288,80444,No
9289,204335,Yes
9290,25196,No
9291,149418,No
9292,83401,No
9293,104025,Yes
9294,190802,No
9295,208829,No
9296,184624,Yes
9297,202546,Yes
9298,178628,Yes
9299,49245,No
9300,1556,No
9301,200706,Yes
9302,158165,Yes
9303,52136,No
9304,199480,Yes
9305,60510,No
9306,27682,No
9307,78279,Yes
9308,3533,No
9309,22847,No
9310,81581,No
9311,198268,Yes
9312,150235,Yes
9313,38513,No
9314,138965,Yes
9315,73082,Yes
9316,100507,Yes
9317,65132,Yes
9318,39472,Yes
9319,71767,Yes
9320,17377,No
9321,109176,No
9322,131449,No
9323,8209,No
9324,96028,No
9325,190564,Yes
9326,142048,Yes
9327,5127,No
9328,83013,Yes
9329,6678,No
9330,97082,Yes
9331,9890,No
9332,73773,No
9333,118708,No
9334,133516,Yes
9335,111265,Yes
9336,206466,No
9337,54029,No
9338,120520,Yes
9339,3057,No
9340,174961,Yes
9341,55591,Yes
9342,187682,Yes
9343,100679,Yes
9344,22856,No
9345,189692,No
9346,85105,No
9347,194651,Yes
9348,42712,No
9349,88074,Yes
9350,169824,No
9351,108436,Yes
9352,42625,No
9353,111685,No
9354,159329,Yes
9355,60430,Yes
9356,188048,Yes
9357,69042,No
9358,59473,No
9359,94957,No
9360,95339,Yes
9361,113651,Yes
9362,95429,No
9363,25176,No
9364,135507,No
9365,134287,Yes
9366,124825,No
9367,92717,Yes
9368,139019,Yes
9369,44740,Yes
9370,117574,No
9371,169991,No
9372,165421,Yes
9373,204290,Yes
9374,202184,No
9375,207898,Yes
9376,62437,No
9377,168831,Yes
9378,4099,No
9379,182977,Yes
9380,127142,No
9381,98816,Yes
9382,148214,No
9383,76240,No
9384,154705,No
9385,200994,No
9386,59583,No
9387,152492,No
9388,39163,No
9389,23369,No
9390,125541,Yes
9391,196976,No
9392,183894,Yes
9393,54716,No
9394,5977,No
9395,549,No
9396,103842,No
9397,56715,Yes
9398,25893,No
9399,46063,Yes
9400,10125,No
9401,146854,Yes
9402,133493,Yes
9403,82058,Yes
9404,166416,Yes
9405,79388,No
9406,154551,Yes
9407,159912,Yes
9408,202229,No
9409,162510,Yes
9410,152573,No
9411,56047,Yes
9412,71846,Yes
9413,102282,Yes
9414,35024,Yes
9415,49674,Yes
9416,42471,Yes
9417,174045,No
9418,127396,No
9419,107872,Yes
9420,172948,No
9421,20343,No
9422,28152,No
9423,77962,No
9424,106531,Yes
9425,166958,No
9426,179551,Yes
9427,68166,Yes
9428,2663,No
9429,158062,Yes
9430,42314,Yes
9431,40971,No
9432,147670,No
9433,111078,No
9434,203133,Yes
9435,69534,Yes
9436,170778,Yes
9437,27792,No
9438,128284,Yes
9439,51276,Yes
9440,204512,No
9441,77701,Yes
9442,22533,No
9443,72480,Yes
9444,152311,No
9445,92842,Yes
9446,15146,No
9447,200082,Yes
9448,190411,Yes
9449,59219,Yes
9450,83316,No
9451,129647,No
9452,120615,No
9453,136459,Yes
9454,186530,No
9455,66387,Yes
9456,206631,Yes
9457,132697,No
9458,79172,No
9459,50296,Yes
9460,171121,No
9461,35105,Yes
9462,162200,Yes
9463,185888,Yes
9464,186665,No
9465,54696,No
9466,126256,Yes
9467,146150,Yes
9468,92415,No
9469,92152,Yes
9470,151045,Yes
9471,80611,Yes
9472,200599,Yes
9473,111260,Yes
9474,87824,Yes
9475,149165,Yes
9476,190678,Yes
9477,106060,Yes
9478,116734,Yes
9479,204752,No
9480,90782,No
9481,205479,Yes
9482,5037,No
9483,16575,No
9484,3162,No
9485,200707,Yes
9486,147291,Yes
9487,106610,Yes
9488,1786,No
9489,24892,No
9490,197595,Yes
9491,172457,Yes
9492,123709,No
9493,30815,Yes
9494,13991,No
9495,48175,No
9496,162267,Yes
9497,40783,No
9498,197549,No
9499,51739,No
9500,188740,Yes
9501,63691,No
9502,61312,No
9503,97394,No
9504,108132,No
9505,109813,No
9506,192601,No
9507,12603,No
9508,40808,No
9509,158923,Yes
9510,189777,No
9511,94124,No
9512,87282,Yes
9513,59941,Yes
9514,190794,No
9515,19316,No
9516,98064,Yes
9517,139928,No
9518,96011,No
9519,169835,No
9520,73008,Yes
9521,170960,Yes
9522,6873,No
9523,167945,No
9524,76938,No
9525,76930,No
9526,208446,Yes
9527,198312,Yes
9528,34219,No
9529,75071,No
9530,151767,No
9531,78805,Yes
9532,181712,No
9533,151795,No
9534,110175,Yes
9535,47519,No
9536,101181,Yes
9537,167600,No
9538,181962,No
9539,44627,Yes
9540,108581,Yes
9541,28841,No
9542,60991,Yes
9543,153044,No
9544,20824,No
9545,169923,Yes
9546,54995,Yes
9547,59674,Yes
9548,85745,Yes
9549,199782,No
9550,116091,Yes
9551,47386,No
9552,16486,No
9553,185370,No
9554,137427,No
9555,811,No
9556,115389,No
9557,187055,Yes
9558,123431,Yes
9559,22990,No
9560,111603,No
9561,109215,No
9562,74022,Yes
9563,83017,Yes
9564,126373,Yes
9565,66608,No
9566,202504,Yes
9567,196736,No
9568,25581,No
9569,11974,No
9570,39757,No
9571,129981,Yes
9572,86563,No
9573,10991,No
9574,176615,Yes
9575,48092,No
9576,99826,Yes
9577,62338,Yes
9578,135449,Yes
9579,166230,No
9580,11306,No
9581,171938,Yes
9582,69704,Yes
9583,100211,No
9584,71228,Yes
9585,6153,No
9586,187782,No
9587,137144,Yes
9588,40009,Yes
9589,110214,Yes
9590,86621,Yes
9591,62592,No
9592,167197,Yes
9593,73191,Yes
9594,33100,No
9595,175798,No
9596,3609,No
9597,119350,Yes
9598,155677,Yes
9599,197332,No
9600,100865,No
9601,49215,No
9602,57654,No
9603,4373,No
9604,165913,Yes
9605,23526,No
9606,116695,Yes
9607,53089,Yes
9608,202608,Yes
9609,175287,No
9610,73994,No
9611,28289,No
9612,153333,Yes
9613,51962,Yes
9614,179629,Yes
9615,135867,Yes
9616,207162,No
9617,40533,Yes
9618,15918,No
9619,119485,No
9620,129942,Yes
9621,95487,No
9622,162199,No
9623,200108,Yes
9624,86301,Yes
9625,88032,Yes
9626,154218,No
9627,19266,No
9628,165857,Yes
9629,170933,Yes
9630,101069,Yes
9631,96136,No
9632,1144,Yes
9633,144088,No
9634,192724,No
9635,182035,Yes
9636,116752,Yes
9637,22657,No
9638,13765,No
9639,100007,Yes
9640,123821,Yes
9641,32695,Yes
9642,201191,No
9643,56775,Yes
9644,128643,Yes
9645,94306,No
9646,81581,No
9647,169432,Yes
9648,8698,No
9649,98897,Yes
9650,101803,Yes
9651,82670,Yes
9652,181680,Yes
9653,46806,No
9654,80460,No
9655,177449,Yes
9656,26870,No
9657,22032,No
9658,52317,No
9659,195857,Yes
9660,84616,No
9661,53983,Yes
9662,136006,Yes
9663,208745,No
9664,91698,Yes
9665,79597,Yes
9666,524,No
9667,119886,Yes
9668,148219,No
9669,141274,Yes
9670,25732,No
9671,106569,Yes
9672,195807,Yes
9673,172399,No
9674,26812,No
9675,14364,No
9676,95891,Yes
9677,98157,Yes
9678,100785,No
9679,79494,Yes
9680,21658,No
9681,15304,No
9682,164056,Yes
9683,169089,Yes
9684,117213,Yes
9685,167833,Yes
9686,93691,No
9687,77571,No
9688,2131,No
9689,83579,No
9690,98921,No
9691,11265,No
9692,69387,Yes
9693,47195,Yes
9694,44295,Yes
9695,143222,Yes
9696,201331,Yes
9697,195980,Yes
9698,82703,Yes
9699,19638,No
9700,70834,Yes
9701,119936,No
9702,142760,No
9703,106236,No
9704,187462,Yes
9705,206377,No
9706,168813,Yes
9707,147951,Yes
9708,63998,Yes
9709,206690,Yes
9710,22976,No
9711,2074,No
9712,49792,Yes
9713,81567,Yes
9714,176812,Yes
9715,98552,No
9716,80172,Yes
9717,49782,Yes
9718,89746,Yes
9719,119168,Yes
9720,11898,No
9721,3830,No
9722,108856,Yes
9723,117782,No
9724,110206,Yes
9725,174571,Yes
9726,164688,Yes
9727,113600,No
9728,205924,No
9729,30488,Yes
9730,172415,Yes
9731,111617,No
9732,21759,No
9733,121739,No
9734,96707,No
9735,13220,No
9736,199887,No
9737,65763,Yes
9738,146539,Yes
9739,206694,Yes
9740,116533,Yes
9741,60464,Yes
9742,84344,Yes
9743,157854,No
9744,52055,Yes
9745,21690,No
9746,186666,No
9747,153891,Yes
9748,7208,No
9749,39644,No
9750,109075,Yes
9751,209727,Yes
9752,35554,Yes
9753,43604,Yes
9754,158795,Yes
9755,146699,Yes
9756,29096,No
9757,11782,No
9758,59257,Yes
9759,146609,Yes
9760,14228,No
9761,127988,No
9762,102357,Yes
9763,96906,Yes
9764,152042,Yes
9765,92045,Yes
9766,141535,No
9767,17771,No
9768,103269,No
9769,182406,No
9770,197157,Yes
9771,152840,Yes
9772,186307,Yes
9773,174971,Yes
9774,39768,No
9775,35485,No
9776,28304,No
9777,128307,Yes
9778,148006,Yes
9779,9577,No
9780,110646,Yes
9781,62230,Yes
9782,158469,No
9783,8256,No
9784,43473,Yes
9785,100982,No
9786,133410,Yes
9787,66429,Yes
9788,33569,No
9789,23974,No
9790,98880,Yes
9791,103689,Yes
9792,12871,No
9793,98072,No
9794,101773,Yes
9795,79995,No
9796,143821,Yes
9797,158128,Yes
9798,193499,Yes
9799,29443,No
9800,173528,No
9801,106157,No
9802,62307,No
9803,6428,No
9804,102949,Yes
9805,2825,No
9806,1395,No
9807,204133,Yes
9808,121182,Yes
9809,21807,No
9810,84258,Yes
9811,162890,Yes
9812,154981,No
9813,6483,No
9814,152290,Yes
9815,41304,No
9816,24574,No
9817,126206,Yes
9818,136093,Yes
9819,16716,No
9820,97192,No
9821,122040,Yes
9822,7153,No
9823,170272,Yes
9824,135870,Yes
9825,30572,Yes
9826,40717,Yes
9827,156948,Yes
9828,165524,No
9829,104433,No
9830,26244,No
9831,84842,Yes
9832,31859,No
9833,73894,No
9834,168093,No
9835,59775,Yes
9836,176084,Yes
9837,86205,Yes
9838,127354,No
9839,134011,Yes
9840,144296,Yes
9841,102745,No
9842,96251,Yes
9843,72228,Yes
9844,134108,Yes
9845,95461,No
9846,103208,No
9847,92489,Yes
9848,61610,Yes
9849,78084,No
9850,163843,Yes
9851,138872,Yes
9852,201023,No
9853,152279,Yes
9854,120988,Yes
9855,181624,Yes
9856,59441,No
9857,46365,No
9858,117216,Yes
9859,9804,Yes
9860,145225,No
9861,35053,Yes
9862,132065,No
9863,206946,No
9864,116422,No
9865,27798,No
9866,87038,No
9867,5169,No
9868,143327,No
9869,92232,Yes
9870,173844,Yes
9871,198209,Yes
9872,88459,Yes
9873,2881,No
9874,95363,Yes
9875,191921,No
9876,89019,Yes
9877,70215,Yes
9878,37596,Yes
9879,115508,Yes
9880,118786,No
9881,39972,Yes
9882,8382,No
9883,6872,No
9884,46774,No
9885,117952,Yes
9886,115513,Yes
9887,52915,No
9888,181846,No
9889,59216,Yes
9890,39623,No
9891,172180,Yes
9892,195947,Yes
9893,162521,Yes
9894,20313,No
9895,81319,Yes
9896,48082,No
9897,140502,No
9898,133910,No
9899,183425,Yes
9900,101919,Yes
9901,70180,Yes
9902,119266,Yes
9903,160690,Yes
9904,50476,No
9905,7573,No
9906,141495,Yes
9907,56863,Yes
9908,192530,Yes
9909,162311,Yes
9910,209014,Yes
9911,122906,No
9912,148536,Yes
9913,57011,No
9914,32494,No
9915,76967,No
9916,75942,Yes
9917,80670,Yes
9918,129210,Yes
9919,11580,No
9920,15944,Yes
9921,75394,Yes
9922,646,No
9923,69086,No
9924,142542,Yes
9925,163620,Yes
9926,172779,No
9927,107858,Yes
9928,51870,Yes
9929,152892,Yes
9930,17145,No
9931,164984,No
9932,35718,Yes
9933,131532,No
9934,119324,No
9935,196403,Yes
9936,55585,Yes
9937,47251,Yes
9938,103254,No
9939,51637,No
9940,9080,No
9941,37208,No
9942,59877,Yes
9943,51647,No
9944,81078,No
9945,61119,No
9946,46006,Yes
9947,77432,No
9948,16091,No
9949,103911,No
9950,65885,Yes
9951,171798,No
9952,161816,Yes
9953,109094,Yes
9954,170051,Yes
9955,51782,No
9956,111306,Yes
9957,65124,Yes
9958,82244,No
9959,38538,No
9960,68437,No
9961,52427,Yes
9962,147540,Yes
9963,26809,No
9964,92002,Yes
9965,110173,Yes
9966,185145,Yes
9967,162371,Yes
9968,195877,Yes
9969,34450,Yes
9970,190811,No
9971,98329,Yes
9972,128616,Yes
9973,184638,Yes
9974,167218,Yes
9975,48030,No
9976,71345,Yes
9977,83874,Yes
9978,86591,No
9979,105155,No
9980,60400,Yes
9981,50737,Yes
9982,56315,No
9983,91691,Yes
9984,202733,No
9985,93814,No
9986,179837,Yes
9987,177729,No
9988,179327,No
9989,55930,No
9990,61113,Yes
9991,26243,No
9992,148195,Yes
9993,57865,Yes
9994,107628,Yes
9995,42976,Yes
9996,74535,No
9997,99134,No
9998,98337,No
9999,75780,No
10000,83176,Yes
10001,101950,Yes
10002,1255,No
10003,151047,Yes
10004,124360,No
10005,7347,No
10006,201972,Yes
10007,21477,No
10008,115091,Yes
10009,171775,No
10010,140688,Yes
10011,133024,Yes
10012,187937,No
10013,141753,No
10014,200479,Yes
10015,184568,Yes
10016,58027,Yes
10017,53952,No
10018,181781,No
10019,52308,No
10020,53116,Yes
10021,8030,No
10022,86015,Yes
10023,169788,Yes
10024,112567,Yes
10025,33969,Yes
10026,76585,Yes
10027,40520,Yes
10028,21714,No
10029,183758,No
10030,180404,Yes
10031,145946,No
10032,75167,No
10033,180746,No
10034,32349,No
10035,145458,No
10036,105243,Yes
10037,12698,No
10038,175185,No
10039,208033,Yes
10040,169543,Yes
10041,86991,Yes
10042,192250,Yes
10043,33232,Yes
10044,140613,Yes
10045,66634,No
10046,155831,Yes
10047,152828,Yes
10048,102708,No
10049,117907,Yes
10050,126700,No
10051,98244,Yes
10052,141107,No
10053,179129,Yes
10054,80722,Yes
10055,32862,Yes
10056,124241,Yes
10057,16518,No
10058,189864,Yes
10059,151935,No
10060,182721,Yes
10061,99717,No
10062,47559,No
10063,72289,Yes
10064,11410,No
10065,132869,Yes
10066,139670,Yes
10067,203003,Yes
10068,186642,No
10069,23958,No
10070,193723,Yes
10071,138005,No
10072,187612,Yes
10073,95437,No
10074,106671,Yes
10075,160021,Yes
10076,208331,No
10077,65864,Yes
10078,181428,No
10079,16576,No
10080,169143,Yes
10081,92002,Yes
10082,155377,No
10083,104941,Yes
10084,125600,No
10085,79155,Yes
10086,183044,No
10087,26027,No
10088,97433,Yes
10089,18587,No
10090,194217,Yes
10091,115235,No
10092,189304,Yes
10093,132240,Yes
10094,25923,No
10095,117760,No
10096,132450,Yes
10097,484,No
10098,15167,No
10099,147636,No
10100,101558,No
10101,151766,No
10102,7040,No
10103,146291,Yes
10104,81221,No
10105,171443,Yes
10106,116479,No
10107,132537,No
10108,102108,No
10109,60875,Yes
10110,176113,Yes
10111,56233,Yes
10112,159275,Yes
10113,138903,Yes
10114,132699,No
10115,92383,Yes
10116,148281,No
10117,31069,Yes
10118,27401,No
10119,154216,No
10120,46607,Yes
10121,156138,No
10122,102031,No
10123,136323,No
10124,188295,Yes
10125,148585,Yes
10126,43203,No
10127,10888,No
10128,95715,Yes
10129,181000,Yes
10130,85053,Yes
10131,52083,Yes
10132,101307,No
10133,66481,Yes
10134,121295,No
10135,139497,Yes
10136,167130,Yes
10137,32994,No
10138,22727,No
10139,53890,Yes
10140,155309,No
10141,16401,No
10142,39661,No
10143,52639,Yes
10144,189379,Yes
10145,3792,No
10146,207484,Yes
10147,176684,Yes
10148,153250,Yes
10149,154857,No
10150,51237,Yes
10151,3081,No
10152,206553,No
10153,153076,No
10154,411,No
10155,17202,No
10156,60838,Yes
10157,117456,Yes
10158,61755,No
10159,78807,Yes
10160,77882,Yes
10161,12543,No
10162,67694,Yes
10163,182305,No
10164,22197,No
10165,178158,No
10166,105929,Yes
10167,182635,Yes
10168,198917,Yes
10169,78554,No
10170,113920,No
10171,27150,No
10172,152977,No
10173,69904,Yes
10174,9302,No
10175,57561,No
10176,27072,No
10177,198519,No
10178,193765,No
10179,169041,Yes
10180,30958,Yes
10181,55757,Yes
10182,127249,No
10183,152282,Yes
10184,60068,No
10185,109800,Yes
10186,200672,Yes
10187,178968,No
10188,179548,No
10189,56388,No
10190,5997,No
10191,39741,No
10192,178257,No
10193,73670,Yes
10194,200745,Yes
10195,183009,No
10196,49162,Yes
10197,167182,Yes
10198,188420,No
10199,208843,No
10200,44601,Yes
10201,79352,No
10202,190946,No
10203,52697,Yes
10204,27706,No
10205,176929,Yes
10206,72387,Yes
10207,180791,Yes
10208,72501,Yes
10209,15550,No
10210,72895,Yes
10211,26039,No
10212,146380,No
10213,93253,Yes
10214,10250,No
10215,154536,Yes
10216,24279,No
10217,173475,No
10218,31376,No
10219,100914,No
10220,142855,No
10221,27248,No
10222,43872,No
10223,27105,No
10224,17455,No
10225,78363,Yes
10226,50263,Yes
10227,58752,No
10228,94958,No
10229,60818,Yes
10230,49475,Yes
10231,78437,Yes
10232,165197,No
10233,135310,Yes
10234,126904,Yes
10235,57652,No
10236,179069,Yes
10237,34506,Yes
10238,30381,Yes
10239,31048,Yes
10240,934,Yes
10241,52855,No
10242,3588,No
10243,67687,Yes
10244,93488,Yes
10245,129433,Yes
10246,43295,No
10247,92537,No
10248,50218,Yes
10249,137659,Yes
10250,160527,Yes
10251,79214,No
10252,175130,Yes
10253,161772,Yes
10254,202679,Yes
10255,96089,No
10256,97949,No
10257,97995,No
10258,146864,Yes
10259,144918,Yes
10260,170927,Yes
10261,33695,No
10262,168712,No
10263,430,No
10264,160270,No
10265,50858,Yes
10266,12592,No
10267,141460,Yes
10268,123769,Yes
10269,118485,Yes
10270,63365,Yes
10271,1423,No
10272,43172,No
10273,172278,No
10274,146232,Yes
10275,80360,No
10276,132016,No
10277,29637,No
10278,111582,No
10279,99626,No
10280,156060,No
10281,196728,Yes
10282,130560,Yes
10283,79627,Yes
10284,107124,Yes
10285,81849,Yes
10286,122004,Yes
10287,175140,Yes
10288,152074,Yes
10289,122380,Yes
10290,134520,No
10291,205720,No
10292,200455,No
10293,125134,Yes
10294,171968,Yes
10295,204680,No
10296,46739,No
10297,110831,Yes
10298,166624,Yes
10299,157285,No
10300,186864,Yes
10301,89110,Yes
10302,38357,Yes
10303,116322,No
10304,112361,No
10305,68567,No
10306,152424,No
10307,102094,No
10308,190288,No
10309,38073,Yes
10310,36712,No
10311,86431,No
10312,165405,Yes
10313,105285,Yes
10314,102625,No
10315,5515,No
10316,65760,Yes
10317,149604,Yes
10318,195282,Yes
10319,146253,Yes
10320,45679,No
10321,156864,Yes
10322,32388,No
10323,9874,Yes
10324,125760,Yes
10325,34886,No
10326,24563,No
10327,105971,Yes
10328,207038,No
10329,52197,No
10330,209486,No
10331,67116,Yes
10332,60652,No
10333,109297,No
10334,4360,No
10335,142890,No
10336,46611,Yes
10337,30729,No
10338,82203,No
10339,151742,No
10340,18494,No
10341,11640,No
10342,32366,No
10343,2259,No
10344,187357,No
10345,11337,No
10346,135211,Yes
10347,30510,Yes
10348,15079,No
10349,76583,Yes
10350,185910,No
10351,121607,Yes
10352,156595,Yes
10353,96677,No
10354,77754,Yes
10355,65756,Yes
10356,139133,Yes
10357,87682,No
10358,55268,No
10359,78437,Yes
10360,151071,Yes
10361,88660,Yes
10362,41359,No
10363,84125,No
10364,184705,No
10365,732,No
10366,33078,No
10367,179987,No
10368,72718,No
10369,88721,Yes
10370,49792,Yes
10371,194594,No
10372,63026,No
10373,117324,Yes
10374,141498,Yes
10375,199671,Yes
10376,154759,No
10377,87573,Yes
10378,115905,No
10379,170371,Yes
10380,67173,Yes
10381,93879,Yes
10382,53720,Yes
10383,107668,Yes
10384,40692,Yes
10385,176196,Yes
10386,84477,Yes
10387,46226,No
10388,135499,Yes
10389,201798,No
10390,203265,Yes
10391,18967,No
10392,144886,Yes
10393,101151,Yes
10394,105227,Yes
10395,184686,Yes
10396,77421,No
10397,179345,Yes
10398,171886,Yes
10399,65787,Yes
10400,194835,Yes
10401,126261,Yes
10402,42787,No
10403,170397,No
10404,56396,No
10405,132170,No
10406,111164,No
10407,71614,Yes
10408,92028,No
10409,64792,No
10410,138702,No
10411,151552,Yes
10412,93466,Yes
10413,133916,No
10414,153134,No
10415,91080,Yes
10416,31016,Yes
10417,2959,No
10418,99318,Yes
10419,17913,No
10420,150827,Yes
10421,127379,Yes
10422,106995,No
10423,60583,No
10424,67483,Yes
10425,189755,No
10426,50907,Yes
10427,96340,Yes
10428,196888,No
10429,74335,Yes
10430,89754,Yes
10431,40092,Yes
10432,69078,No
10433,16265,No
10434,138574,No
10435,44784,Yes
10436,66809,Yes
10437,25120,No
10438,166804,No
10439,183304,Yes
10440,90413,Yes
10441,161594,Yes
10442,123163,No
10443,105862,Yes
10444,2992,No
10445,79171,Yes
10446,89462,No
10447,84999,Yes
10448,83452,No
10449,208755,No
10450,9310,No
10451,130199,Yes
10452,128780,Yes
10453,10842,No
10454,28848,No
10455,140165,Yes
10456,202009,Yes
10457,35561,Yes
10458,151627,Yes
10459,207796,No
10460,129138,No
10461,129843,Yes
10462,178315,No
10463,4255,No
10464,156914,Yes
10465,37674,Yes
10466,140487,No
10467,40074,Yes
10468,38013,Yes
10469,132313,Yes
10470,47667,Yes
10471,606,No
10472,62589,No
10473,6982,No
10474,183784,No
10475,115721,Yes
10476,208395,No
10477,27743,No
10478,124409,Yes
10479,108669,Yes
10480,65578,No
10481,175989,No
10482,108560,Yes
10483,190980,No
10484,14259,No
10485,127596,Yes
10486,20431,No
10487,20025,No
10488,181043,Yes
10489,208168,No
10490,107014,Yes
10491,25979,No
10492,164603,Yes
10493,31639,Yes
10494,178344,No
10495,125313,Yes
10496,108449,Yes
10497,175713,Yes
10498,66585,Yes
10499,78082,No
10500,110406,No
10501,173905,No
10502,21593,No
10503,55115,Yes
10504,136450,Yes
10505,54451,Yes
10506,177568,No
10507,40901,No
10508,158070,Yes
10509,28138,No
10510,139560,Yes
10511,186519,No
10512,78807,Yes
10513,103891,No
10514,68354,Yes
10515,80741,Yes
10516,156771,No
10517,144387,Yes
10518,56137,Yes
10519,1138,No
10520,71145,Yes
10521,184458,No
10522,171243,Yes
10523,52247,No
10524,79272,No
10525,29648,No
10526,159889,Yes
10527,135240,Yes
10528,123185,No
10529,26065,No
10530,35928,No
10531,104439,No
10532,158077,Yes
10533,69740,No
10534,19174,Yes
10535,186224,Yes
10536,95505,No
10537,204940,Yes
10538,199601,Yes
10539,43519,Yes
10540,39206,Yes
10541,86126,Yes
10542,140491,No
10543,85935,No
10544,151064,Yes
10545,122051,Yes
10546,63331,Yes
10547,97892,No
10548,28767,No
10549,100486,Yes
10550,186071,No
10551,118427,Yes
10552,34841,Yes
10553,107130,Yes
10554,48249,Yes
10555,131500,No
10556,195332,Yes
10557,119115,Yes
10558,69477,Yes
10559,149379,No
10560,116942,No
10561,53640,Yes
10562,148395,No
10563,118370,No
10564,200306,No
10565,20487,No
10566,45240,Yes
10567,192128,No
10568,4364,No
10569,70665,Yes
10570,162038,No
10571,37586,Yes
10572,93626,No
10573,88386,No
10574,187522,Yes
10575,94529,Yes
10576,157643,Yes
10577,123219,Yes
10578,94087,Yes
10579,102411,Yes
10580,89826,Yes
10581,33741,Yes
10582,36024,No
10583,94302,No
10584,67255,No
10585,4974,No
10586,172065,Yes
10587,38925,Yes
10588,17639,No
10589,186907,Yes
10590,169701,Yes
10591,159485,Yes
10592,177073,No
10593,7850,No
10594,203827,Yes
10595,2400,No
10596,9947,No
10597,154648,Yes
10598,82182,No
10599,68689,Yes
10600,151559,Yes
10601,90845,Yes
10602,11071,No
10603,181664,Yes
10604,78346,Yes
10605,85103,Yes
10606,146580,No
10607,204213,Yes
10608,66467,Yes
10609,4830,No
10610,64384,No
10611,101641,No
10612,149892,Yes
10613,199617,Yes
10614,32077,Yes
10615,27490,No
10616,150124,No
10617,54721,Yes
10618,108314,Yes
10619,54572,No
10620,84511,Yes
10621,48146,No
10622,175003,Yes
10623,12928,No
10624,98280,Yes
10625,129384,Yes
10626,31573,Yes
10627,29649,No
10628,13999,No
10629,78801,Yes
10630,92801,Yes
10631,122373,Yes
10632,209338,No
10633,84725,No
10634,15415,No
10635,86363,Yes
10636,40278,No
10637,115259,No
10638,72750,No
10639,74954,No
10640,106279,No
10641,118255,No
10642,23796,No
10643,87507,Yes
10644,200080,Yes
10645,123563,Yes
10646,120675,No
10647,116160,Yes
10648,90451,Yes
10649,86384,Yes
10650,3244,No
10651,202767,Yes
10652,93348,Yes
10653,98955,No
10654,38639,Yes
10655,20219,No
10656,22178,No
10657,64245,No
10658,113111,Yes
10659,60736,No
10660,43737,No
10661,49471,Yes
10662,129130,Yes
10663,199490,Yes
10664,74738,Yes
10665,186681,No
10666,163144,Yes
10667,145259,No
10668,35073,Yes
10669,30663,No
10670,199626,Yes
10671,134677,Yes
10672,173385,No
10673,141955,Yes
10674,179604,Yes
10675,50232,Yes
10676,107204,Yes
10677,83328,No
10678,90075,No
10679,205723,Yes
10680,117876,Yes
10681,169726,Yes
10682,53830,Yes
10683,196317,No
10684,12008,No
10685,25971,No
10686,208957,No
10687,144747,No
10688,35438,No
10689,70142,Yes
10690,74568,No
10691,199697,Yes
10692,9649,No
10693,49316,No
10694,102918,Yes
10695,42486,Yes
10696,60219,Yes
10697,71305,Yes
10698,197399,Yes
10699,102479,Yes
10700,98449,No
10701,182894,Yes
10702,187267,No
10703,102516,No
10704,94650,Yes
10705,203199,Yes
10706,128523,No
10707,112031,Yes
10708,16022,No
10709,203006,Yes
10710,119556,No
10711,32493,No
10712,52281,Yes
10713,160013,Yes
10714,48204,Yes
10715,7971,No
10716,127553,Yes
10717,153957,Yes
10718,182142,Yes
10719,117327,Yes
10720,72137,No
10721,132603,No
10722,36791,Yes
10723,99940,Yes
10724,18202,No
10725,163395,No
10726,87746,No
10727,270,No
10728,31234,No
10729,47131,Yes
10730,153936,Yes
10731,78474,Yes
10732,63485,Yes
10733,117133,No
10734,204770,No
10735,113254,Yes
10736,168558,Yes
10737,85158,No
10738,101050,Yes
10739,35030,Yes
10740,136722,No
10741,190042,Yes
10742,164960,Yes
10743,103254,No
10744,158359,Yes
10745,155661,Yes
10746,152347,No
10747,188246,Yes
10748,206538,No
10749,42338,Yes
10750,149992,No
10751,63527,No
10752,101765,Yes
10753,103017,Yes
10754,25261,No
10755,139268,No
10756,17544,No
10757,35683,Yes
10758,59995,No
10759,142804,Yes
10760,35944,Yes
10761,89835,Yes
10762,31866,No
10763,208959,No
10764,116752,Yes
10765,54328,Yes
10766,140199,Yes
10767,194141,Yes
10768,136878,No
10769,203984,No
10770,33725,Yes
10771,90976,Yes
10772,186881,Yes
10773,129977,Yes
10774,168371,Yes
